table_name,columns
app_settings,"id uuid, key text, value jsonb, description text, is_public boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
blocked_users,"id uuid, blocker_id uuid, blocked_id uuid, reason text, created_at timestamp with time zone"
business_categories,"id uuid, name text, slug text, description text, icon text, parent_id uuid, is_active boolean, sort_order integer, created_at timestamp with time zone, updated_at timestamp with time zone"
business_hours,"id uuid, user_id uuid, schedule jsonb, special_hours jsonb, timezone text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
callback_requests,"id uuid, listing_id uuid, requester_id uuid, seller_id uuid, phone_number text, preferred_time text, message text, status text, created_at timestamp with time zone"
categories,"id uuid, name text, slug text, parent_id uuid, icon text, is_active boolean, sort_order integer, created_at timestamp with time zone"
comment_likes,"id uuid, comment_id uuid, user_id uuid, created_at timestamp with time zone"
comments,"id uuid, post_id uuid, user_id uuid, content text, parent_id uuid, likes_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
community_rewards,"id uuid, user_id uuid, reward_type character varying, credits_earned integer, trigger_action character varying, reference_id uuid, reference_type character varying, metadata jsonb, is_validated boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
consent_history,"id uuid, user_id uuid, consent_type text, consent_given boolean, consent_method text, consent_source text, ip_address inet, user_agent text, legal_basis text, consent_text text, consent_version text, created_at timestamp with time zone"
content_flags,"id uuid, content_type text, content_id uuid, flag_type text, confidence_score numeric, auto_generated boolean, metadata jsonb, created_at timestamp with time zone"
conversations,"id uuid, listing_id uuid, participant_1 uuid, participant_2 uuid, last_message_at timestamp with time zone, created_at timestamp with time zone, buyer_id uuid, seller_id uuid, status text, last_message_content text, buyer_unread_count integer, seller_unread_count integer"
credit_purchases,"id uuid, user_id uuid, package_name text, credits_amount integer, price_amount numeric, currency text, status text, payment_reference text, credits_awarded boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
credit_transactions,"id uuid, user_id uuid, transaction_type text, amount integer, balance_before integer, balance_after integer, description text, reference_type text, reference_id uuid, created_at timestamp with time zone"
data_breach_incidents,"id uuid, incident_reference text, incident_type text, severity text, discovered_at timestamp with time zone, occurred_at timestamp with time zone, contained_at timestamp with time zone, resolved_at timestamp with time zone, affected_data_subjects_count integer, data_categories_affected ARRAY, likely_consequences text, risk_level text, containment_measures text, recovery_measures text, preventive_measures text, supervisory_authority_notified boolean, authority_notification_date timestamp with time zone, data_subjects_notified boolean, subjects_notification_date timestamp with time zone, root_cause text, lessons_learned text, status text, created_at timestamp with time zone, updated_at timestamp with time zone"
data_deletion_requests,"id uuid, user_id uuid, status text, requested_at timestamp with time zone, scheduled_for timestamp with time zone, processed_at timestamp with time zone, reason text, deletion_type text, grace_period_days integer, cancelled_at timestamp with time zone, cancelled_by uuid, cancellation_reason text, processing_started_at timestamp with time zone, processing_completed_at timestamp with time zone, error_message text, retry_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
data_export_requests,"id uuid, user_id uuid, status text, requested_at timestamp with time zone, processed_at timestamp with time zone, export_format text, download_url text, file_size_bytes bigint, expires_at timestamp with time zone, processing_started_at timestamp with time zone, processing_completed_at timestamp with time zone, error_message text, retry_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
data_processing_logs,"id uuid, processing_activity text, purpose text, legal_basis text, data_categories ARRAY, data_subjects ARRAY, recipients ARRAY, third_country_transfers boolean, safeguards text, retention_period text, deletion_schedule text, security_measures ARRAY, controller_name text, processor_name text, dpo_contact text, created_at timestamp with time zone, updated_at timestamp with time zone"
device_tokens,"id uuid, user_id uuid, token text, platform text, device_name text, device_model text, app_version text, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
faq_categories,"id uuid, name text, slug text, description text, icon text, sort_order integer, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
faq_items,"id uuid, category_id uuid, question text, answer text, sort_order integer, is_active boolean, view_count integer, helpful_count integer, created_at timestamp with time zone, updated_at timestamp with time zone"
favorites,"id uuid, user_id uuid, listing_id uuid, created_at timestamp with time zone"
feature_purchases,"id uuid, user_id uuid, listing_id uuid, feature_type text, feature_name text, credits_cost integer, duration_hours integer, starts_at timestamp with time zone, expires_at timestamp with time zone, status text, feature_config jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
follows,"id uuid, follower_id uuid, following_id uuid, created_at timestamp with time zone"
hashtags,"id uuid, tag text, created_at timestamp with time zone, posts_count integer, total_engagement integer, last_used_at timestamp with time zone, category text"
image_optimizations,"id uuid, user_id uuid, bucket text, original_path text, original_size integer, variants_created integer, total_savings integer, compression_ratio numeric, optimization_status text, error_message text, created_at timestamp with time zone, completed_at timestamp with time zone"
kb_article_feedback,"id uuid, article_id uuid, user_id uuid, is_helpful boolean, feedback_text text, ip_address text, user_agent text, created_at timestamp with time zone"
kb_articles,"id uuid, title text, slug text, content text, excerpt text, category text, tags ARRAY, status text, published_at timestamp with time zone, author_id uuid, last_updated_by uuid, view_count integer, helpful_count integer, not_helpful_count integer, meta_description text, search_keywords ARRAY, created_at timestamp with time zone, updated_at timestamp with time zone"
likes,"id uuid, user_id uuid, post_id uuid, comment_id uuid, created_at timestamp with time zone"
