table_name,columns
account_recovery,"id uuid, user_id uuid, recovery_type text, recovery_token text, verification_data jsonb, status text, expires_at timestamp with time zone, created_at timestamp with time zone, used_at timestamp with time zone"
activity_logs,"id uuid, event_type text, user_id uuid, session_id text, metadata jsonb, timestamp timestamp with time zone, ip_address inet, user_agent text, device_type text, location text, created_at timestamp with time zone"
admin_audit_logs,"id uuid, admin_id uuid, action text, resource_type text, resource_id text, details jsonb, ip_address inet, user_agent text, created_at timestamp with time zone"
admin_flagged_conversations,"id uuid, listing_id uuid, participant_1 uuid, participant_2 uuid, last_message_content text, last_message_at timestamp with time zone, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid, moderation_reason text, reported_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, participant_1_name text, participant_1_email text, participant_2_name text, participant_2_email text, message_count bigint, listing_title text, listing_price numeric"
admin_flagged_messages,"id uuid, conversation_id uuid, sender_id uuid, content text, message_type text, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid, moderation_reason text, reported_count integer, created_at timestamp with time zone, updated_at timestamp with time zone, sender_name text, sender_email text, sender_avatar text, listing_id uuid, participant_1 uuid, participant_2 uuid, context_type text, recipient_name text, recipient_email text, listing_title text, listing_price numeric"
admin_settings,"id integer, platform_name text, platform_description text, user_registration_enabled boolean, email_verification_required boolean, manual_approval_required boolean, listing_creation_enabled boolean, chat_system_enabled boolean, payment_processing_enabled boolean, platform_fee_percentage numeric, minimum_transaction_amount numeric, automatic_payouts_enabled boolean, theme text, layout text, accent_color text, email_notifications jsonb, smtp_settings jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
analytics_alerts,"id uuid, alert_name text, description text, metric text, condition text, threshold numeric, time_window text, frequency text, recipients jsonb, is_active boolean, last_triggered timestamp with time zone, created_by uuid, created_at timestamp with time zone, updated_at timestamp with time zone"
analytics_dashboards,"id uuid, dashboard_name text, description text, widgets jsonb, created_by uuid, created_at timestamp with time zone, updated_at timestamp with time zone, is_public boolean, shared_with jsonb"
analytics_events,"id uuid, event_type text, event_name text, user_id uuid, session_id text, properties jsonb, timestamp timestamp with time zone, ip_address inet, user_agent text, referrer text, page_url text, device_info jsonb"
analytics_reports,"id uuid, report_name text, report_type text, date_range jsonb, metrics jsonb, insights jsonb, recommendations jsonb, generated_by uuid, generated_at timestamp with time zone, is_scheduled boolean, schedule_frequency text, recipients jsonb, status text, created_at timestamp with time zone, updated_at timestamp with time zone"
analytics_segments,"id uuid, segment_name text, description text, criteria jsonb, user_count integer, created_by uuid, created_at timestamp with time zone, updated_at timestamp with time zone, is_active boolean"
backup_codes,"id uuid, user_id uuid, code_hash text, is_used boolean, used_at timestamp with time zone, created_at timestamp with time zone"
blocked_payment_methods,"id uuid, payment_method text, phone_number text, reason text, blocked_by uuid, blocked_at timestamp with time zone, status text, unblocked_by uuid, unblocked_at timestamp with time zone, unblock_reason text, created_at timestamp with time zone, updated_at timestamp with time zone"
boost_tracking,"id uuid, user_id uuid, listing_id uuid, subscription_id uuid, boost_type character varying, boost_duration character varying, credits_cost integer, activated_at timestamp with time zone, expires_at timestamp with time zone, is_active boolean, source character varying, auto_applied boolean, views_during_boost integer, interactions_during_boost integer, performance_boost_percentage numeric, created_at timestamp with time zone"
business_seller_status,"id uuid, user_id uuid, is_business_seller boolean, business_plan_id character varying, subscription_status character varying, features jsonb, last_updated timestamp with time zone, created_at timestamp with time zone"
business_subscriber_activity,"id uuid, user_id uuid, subscription_id uuid, week_start date, week_end date, listings_posted integer, boost_credits_used integer, total_engagement_score integer, profile_views integer, listing_views integer, messages_received integer, offers_received integer, weighted_activity_score numeric, last_updated timestamp with time zone, created_at timestamp with time zone"
categories,"id uuid, name text, icon text, parent_id uuid, created_at timestamp with time zone"
chat_messages,"id uuid, conversation_id uuid, sender_id uuid, content text, message_type text, attachments jsonb, metadata jsonb, is_edited boolean, edited_at timestamp with time zone, is_deleted boolean, deleted_at timestamp with time zone, delivery_status text, delivered_at timestamp with time zone, read_at timestamp with time zone, reply_to_message_id uuid, thread_id uuid, created_at timestamp with time zone, updated_at timestamp with time zone, moderation_status text, last_moderated_at timestamp with time zone, moderated_by uuid, moderation_reason text, reported_count integer"
chat_offers,"id uuid, conversation_id uuid, message_id uuid, listing_id uuid, sender_id uuid, receiver_id uuid, amount numeric, currency text, message text, conditions jsonb, status text, parent_offer_id uuid, expires_at timestamp with time zone, created_at timestamp with time zone, updated_at timestamp with time zone, accepted_at timestamp with time zone, declined_at timestamp with time zone"
chats,"id uuid, listing_id uuid, buyer_id uuid, seller_id uuid, last_message text, last_message_at timestamp with time zone, created_at timestamp with time zone, deleted_by_buyer boolean, deleted_by_seller boolean, buyer_deleted_at timestamp with time zone, seller_deleted_at timestamp with time zone, unread_count integer"
comment_likes,"id uuid, comment_id uuid, user_id uuid, created_at timestamp with time zone"
community_notifications,"id uuid, user_id uuid, type text, title text, message text, data jsonb, is_read boolean, created_at timestamp with time zone"
community_rewards,"id uuid, user_id uuid, reward_type character varying, credits_earned integer, trigger_action character varying, reference_id uuid, reference_type character varying, metadata jsonb, is_validated boolean, created_at timestamp with time zone"
community_settings,"id uuid, user_id uuid, profile_visibility text, show_activity_status boolean, show_follower_count boolean, show_following_count boolean, allow_direct_messages text, notify_new_followers boolean, notify_post_likes boolean, notify_post_comments boolean, notify_mentions boolean, notify_direct_messages boolean, notify_community_events boolean, notify_featured_posts boolean, auto_save_drafts boolean, default_post_visibility text, allow_post_sharing boolean, show_read_receipts boolean, block_explicit_content boolean, require_approval_for_tags boolean, hide_from_search boolean, created_at timestamp with time zone, updated_at timestamp with time zone, allow_direct_messages_simple boolean, notify_post_interactions boolean"
